taxonomy_type,raw_snapshot,raw_name,canonical_name,canonical_targets,mapping_strategy,mapping_confidence,needs_review,auto_decision,decision_reason,row_count,source_count,sources
category,2017-06,Abstract Strategy,Abstract Strategy,Abstract Strategy,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,7448,1,bgg-gabrio
category,2017-06,Action / Dexterity,Action / Dexterity,Action / Dexterity,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,4612,1,bgg-gabrio
category,2017-06,Adventure,Adventure,Adventure,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,3268,1,bgg-gabrio
category,2017-06,Age of Reason,Age of Reason,Age of Reason,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,322,1,bgg-gabrio
category,2017-06,American Civil War,American Civil War,American Civil War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,637,1,bgg-gabrio
category,2017-06,American Indian Wars,American Indian Wars,American Indian Wars,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,137,1,bgg-gabrio
category,2017-06,American Revolutionary War,American Revolutionary War,American Revolutionary War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,235,1,bgg-gabrio
category,2017-06,American West,American West,American West,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,856,1,bgg-gabrio
category,2017-06,Ancient,Ancient,Ancient,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1883,1,bgg-gabrio
category,2017-06,Animals,Animals,Animals,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,4556,1,bgg-gabrio
category,2017-06,Arabian,Arabian,Arabian,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,193,1,bgg-gabrio
category,2017-06,Aviation / Flight,Aviation / Flight,Aviation / Flight,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1274,1,bgg-gabrio
category,2017-06,Bluffing,Bluffing,Bluffing,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,2894,1,bgg-gabrio
category,2017-06,Book,Book,Book,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,752,1,bgg-gabrio
category,2017-06,Card Game,Card Game,Card Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,20762,1,bgg-gabrio
category,2017-06,Children's Game,Children's Game,Children's Game,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,11288,1,bgg-gabrio
category,2017-06,City Building,City Building,City Building,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,1073,1,bgg-gabrio
category,2017-06,Civil War,Civil War,Civil War,exact_label_match,exact,false,keep,Exact label match in reference vocabulary.,307,1,bgg-gabrio
